EXMO,  FID < 5 (batches),  FID < 2 (batches),  Acc. 50-85%,  Acc. 60-75%,  Avg. Acc. 50-85%,  Avg. Acc. 60-75%
00,0.402,0.322,0.463,0.583,0.449,0.716
01,0.025,0.039,0.304,0.113,0.422,0.292
02,0.584,0.273,0.523,0.934,0.632,0.885
03,0.274,-----,0.556,0.632,0.560,0.211
04,0.274,0.373,0.130,0.514,0.261,0.269
05,0.836,-----,0.528,0.381,0.623,0.192
06,0.150,0.908,0.560,0.321,0.064,0.325
07,0.643,-----,0.683,0.684,0.933,0.641
08,0.274,0.386,0.605,0.692,0.542,0.605
09,0.274,0.237,0.623,0.176,0.641,0.658
10,0.384,0.312,0.444,0.839,0.351,0.855
11,0.973,0.995,0.076,0.079,0.029,0.198
12,0.634,0.893,0.040,0.022,0.007,0.013
13,0.749,0.901,0.003,0.005,0.003,0.004
14,0.916,-----,0.986,0.974,0.977,0.989
15,0.064,0.024,0.087,0.070,0.080,0.025
16,0.992,-----,0.996,0.995,0.996,0.995
17,0.402,-----,0.968,0.978,0.987,0.981
18,0.003,-----,0.827,0.663,0.909,0.924
19,0.979,0.993,0.060,0.139,0.012,0.173
20,0.901,0.893,0.006,0.006,0.004,0.003
21,0.616,0.859,0.007,0.017,0.009,0.006
22,0.997,-----,0.994,0.994,0.990,0.994
23,0.008,0.006,0.010,0.040,0.135,0.019
24,0.997,-----,0.998,0.998,0.998,0.998
25,0.274,-----,0.991,0.989,0.991,0.985
26,0.003,-----,0.885,0.288,0.917,0.342
27,0.690,-----,0.959,0.968,0.870,0.614
28,0.084,0.021,0.083,0.039,0.150,0.495
