EXMO,  FID < 5 (batches),  FID < 2 (batches),  Acc. 50-85%,  Acc. 60-75%,  Avg. Acc. 50-85%,  Avg. Acc. 60-75%
00,0.607,0.698,0.546,0.426,0.560,0.292
01,0.976,0.965,0.704,0.892,0.587,0.716
02,0.425,0.754,0.486,0.070,0.377,0.120
03,0.734,-----,0.454,0.377,0.449,0.796
04,0.734,0.657,0.875,0.495,0.746,0.739
05,0.170,-----,0.481,0.628,0.386,0.815
06,0.856,0.102,0.449,0.688,0.939,0.683
07,0.366,-----,0.325,0.325,0.070,0.368
08,0.734,0.636,0.404,0.316,0.468,0.404
09,0.734,0.777,0.386,0.830,0.368,0.351
10,0.625,0.708,0.565,0.167,0.658,0.150
11,0.028,0.006,0.927,0.924,0.973,0.808
12,0.375,0.116,0.962,0.979,0.993,0.988
13,0.258,0.107,0.998,0.996,0.997,0.997
14,0.088,-----,0.014,0.027,0.025,0.012
15,0.939,0.979,0.917,0.934,0.924,0.977
16,0.009,-----,0.005,0.006,0.004,0.005
17,0.607,-----,0.034,0.023,0.014,0.020
18,0.997,-----,0.179,0.346,0.094,0.080
19,0.022,0.007,0.943,0.866,0.988,0.833
20,0.104,0.116,0.995,0.995,0.996,0.997
21,0.393,0.152,0.994,0.983,0.992,0.995
22,0.003,-----,0.006,0.007,0.010,0.006
23,0.992,0.995,0.990,0.962,0.870,0.982
24,0.003,-----,0.002,0.002,0.002,0.002
25,0.734,-----,0.009,0.012,0.009,0.016
26,0.997,-----,0.120,0.720,0.087,0.667
27,0.319,-----,0.043,0.034,0.135,0.395
28,0.920,0.981,0.920,0.963,0.855,0.514
