EXMO, FID < 5 (batches), FID < 5, FID < 2 (batches), FID < 2, , EXMO, Acc. 50-85%, Acc. 60-75%, Avg. Acc. 50-85%, Avg. Acc. 50-85% (epochs), Avg. Acc. 60-75%, Avg. Acc. 60-75% (epochs), , EXMO, argmin(FID), min(FID)
05 A, 5286, , , , , 05 A, 135, 13, 5627, , 420, , , 05 A, 24668, 2.304
05 B, 4405, , , , , 05 B, 174, 16, 13865, , 1614, , , 05 B, 22906, 2.211
05 C, 5286, , , , , 05 C, 144, 18, 8583, , 1669, , , 05 C, 29954, 2.373
02 A, 3524, , 16739, , , 02 A, 139, 11, 10813, , 309, , , 02 A, 16739, 1.974
02 B, 13215, , , , , 02 B, 208, 10, 7424, , 224, , , 02 B, 26430, 2.233
02 C, 3524, , , , , 02 C, 105, 10, 10032, , 278, , , 02 C, 19382, 2.055
03 A, 4405, , , , , 03 A, 104, 12, 8627, , 1084, , , 03 A, 20263, 2.148
03 B, 3524, , , , , 03 B, 172, 13, 10251, , 671, , , 03 B, 14096, 2.111
03 C, 3524, , , , , 03 C, 155, 16, 12285, , 837, , , 03 C, 20263, 2.02
04 A, 3524, , , , , 04 A, 282, 15, 12941, , 782, , , 04 A, 20263, 2.006
04 B, 3524, , 17620, , , 04 B, 173, 17, 17029, , 858, , , 04 B, 17620, 1.994
04 C, 4405, , , , , 04 C, 227, 12, 11333, , 551, , , 04 C, 22906, 2.024
12 A, 6167, , 22906, , , 12 A, 659, 24, 44582, , 9567, , , 12 A, 22906, 1.967
12 B, 4405, , 22025, , , 12 B, 527, 27, 57896, , 12782, , , 12 B, 22025, 1.97
12 C, 3524, , 29073, , , 12 C, 163, 20, 26924, , 2100, , , 12 C, 29073, 1.969
15 A, 3524, , 13215, , , 15 A, 318, 23, 20340, , 7230, , , 15 A, 13215, 1.789
15 B, 2643, , 11453, , , 15 B, 183, 20, 16380, , 3554, , , 15 B, 11453, 1.87
15 C, 3524, , 17620, , , 15 C, 247, 20, 17552, , 3169, , , 15 C, 17620, 1.934
23 A, 2643, , 12334, , , 23 A, 529, 24, 15967, , 7021, , , 23 A, 12334, 1.846
23 B, 2643, , 12334, , , 23 B, 470, 22, 16732, , 5858, , , 23 B, 12334, 1.967
23 C, 2643, , 13215, , , 23 C, 485, 21, 15704, , 5890, , , 23 C, 13215, 1.976
24 A, 19382, , , , , 24 A, 9, 1, 23, , , , , 24 A, 22906, 4.382
24 B, 11453, , , , , 24 B, 3, 2, 25, , 4, , , 24 B, 19382, 4.107
24 C, 13215, , , , , 24 C, 3, 2, 10, , , , , 24 C, 18501, 4.395
25 A, 4405, , , , , 25 A, 37, 5, 410, , 25, , , 25 A, 29073, 3.295
25 B, 3524, , , , , 25 B, 34, 10, 1079, , 48, , , 25 B, 13215, 2.605
25 C, 3524, , , , , 25 C, 7, 2, 54, , 17, , , 25 C, 14977, 2.937
22 A, 12334, , , , , 22 A, 11, 3, 329, , 4, , , 22 A, 21144, 3.0
22 B, 11453, , , , , 22 B, 20, 6, 595, , 23, , , 22 B, 23787, 2.755
22 C, 15858, , , , , 22 C, 18, 3, 336, , 8, , , 22 C, 25549, 3.123
14 A, 4405, , , , , 14 A, 40, 10, 2322, , 84, , , 14 A, 25549, 2.248
14 B, 6167, , , , , 14 B, 21, 8, 582, , 13, , , 14 B, 23787, 2.329
14 C, 7048, , , , , 14 C, 28, 7, 1488, , 12, , , 14 C, 19382, 2.575
13 A, 4405, , 24668, , , 13 A, 590, 25, 64833, , 12837, , , 13 A, 24668, 1.946
13 B, 4405, , 21144, , , 13 B, 1288, 26, 44027, , 11462, , , 13 B, 21144, 1.921
13 C, 5286, , 29073, , , 13 C, 691, 31, 57702, , 21046, , , 13 C, 29073, 1.828
08 A, 3524, , 16739, , , 08 A, 100, 12, 8835, , 417, , , 08 A, 16739, 1.989
08 B, 4405, , , , , 08 B, 159, 16, 8765, , 295, , , 08 B, 22906, 2.033
08 C, 3524, , 19382, , , 08 C, 158, 12, 13399, , 748, , , 08 C, 19382, 1.975
01 A, 2643, , 14096, , , 01 A, 144, 17, 15811, , 582, , , 01 A, 14096, 1.994
01 B, 3524, , 15858, , , 01 B, 165, 16, 6577, , 571, , , 01 B, 15858, 1.96
01 C, 2643, , 15858, , , 01 C, 255, 26, 13259, , 974, , , 01 C, 15858, 1.887
06 A, 2643, , 34359, , , 06 A, 137, 16, 18336, , 933, , , 06 A, 34359, 1.984
06 B, 3524, , 22906, , , 06 B, 272, 25, 19288, , 4457, , , 06 B, 22906, 1.929
06 C, 4405, , , , , 06 C, 74, 11, 18959, , 195, , , 06 C, 19382, 2.122
07 A, 4405, , , , , 07 A, 75, 14, 3289, , 250, , , 07 A, 16739, 2.292
07 B, 4405, , , , , 07 B, 129, 14, 4807, , 771, , , 07 B, 16739, 2.613
07 C, 4405, , , , , 07 C, 177, 11, 2807, , 411, , , 07 C, 17620, 2.595
00 A, 5286, , 16739, , , 00 A, 155, 13, 9419, , 328, , , 00 A, 16739, 1.981
00 B, 2643, , , , , 00 B, 123, 12, 10432, , 247, , , 00 B, 14977, 2.14
00 C, 4405, , 18501, , , 00 C, 223, 17, 14126, , 690, , , 00 C, 18501, 1.948
09 A, 4405, , 18501, , , 09 A, 169, 17, 10812, , 532, , , 09 A, 18501, 1.965
09 B, 3524, , 14096, , , 09 B, 149, 17, 9987, , 281, , , 09 B, 14096, 1.88
09 C, 3524, , 18501, , , 09 C, 92, 20, 7725, , 470, , , 09 C, 18501, 1.971
16 A, 8810, , , , , 16 A, 8, 3, 94, , 3, , , 16 A, 13215, 3.758
16 B, 9691, , , , , 16 B, 8, 3, 164, , 4, , , 16 B, 19382, 4.162
16 C, 8810, , , , , 16 C, 22, 5, 254, , 33, , , 16 C, 18501, 3.923
11 A, 7048, , 37883, , , 11 A, 189, 14, 22776, , 383, , , 11 A, 37883, 1.917
11 B, 7048, , 33478, , , 11 B, 280, 25, 28529, , 1638, , , 11 B, 33478, 1.965
11 C, 6167, , 41407, , , 11 C, 283, 24, 26753, , 3214, , , 11 C, 41407, 1.955
18 A, 1762, , , , , 18 A, 97, 13, 4142, , 190, , , 18 A, 8810, 2.488
18 B, 2643, , , , , 18 B, 80, 12, 3937, , 203, , , 18 B, 8810, 2.239
18 C, 1762, , , , , 18 C, 138, 15, 4082, , 284, , , 18 C, 9691, 2.462
27 A, 5286, , , , , 27 A, 50, 8, 2524, , 397, , , 27 A, 19382, 2.424
27 B, 5286, , , , , 27 B, 60, 9, 8359, , 421, , , 27 B, 19382, 2.373
27 C, 3524, , , , , 27 C, 58, 10, 7136, , 502, , , 27 C, 29954, 2.431
20 A, 4405, , 22025, , , 20 A, 632, 28, 46979, , 16849, , , 20 A, 22025, 1.85
20 B, 7929, , 27311, , , 20 B, 466, 24, 51764, , 13865, , , 20 B, 27311, 1.971
20 C, 5286, , 23787, , , 20 C, 669, 29, 46973, , 17288, , , 20 C, 23787, 1.986
21 A, 22906, , 39645, , , 21 A, 980, 33, 52154, , 28296, , , 21 A, 39645, 1.97
21 B, 3524, , 18501, , , 21 B, 537, 24, 35761, , 7216, , , 21 B, 18501, 1.989
21 C, 3524, , 19382, , , 21 C, 368, 20, 35392, , 7507, , , 21 C, 19382, 1.901
19 A, 7048, , 37002, , , 19 A, 407, 25, 37606, , 1521, , , 19 A, 37002, 1.983
19 B, 8810, , 37002, , , 19 B, 229, 20, 31614, , 687, , , 19 B, 37002, 1.888
19 C, 6167, , 37883, , , 19 C, 246, 13, 39433, , 973, , , 19 C, 37883, 1.978
26 A, 1762, , , , , 26 A, 88, 18, 4981, , 444, , , 26 A, 6167, 2.077
26 B, 2643, , , , , 26 B, 102, 13, 3599, , 841, , , 26 B, 7929, 2.508
26 C, 1762, , , , , 26 C, 78, 19, 3484, , 740, , , 26 C, 8810, 2.203
10 A, 3524, , 17620, , , 10 A, 229, 10, 12519, , 373, , , 10 A, 17620, 1.988
10 B, 3524, , 17620, , , 10 B, 167, 12, 13724, , 390, , , 10 B, 17620, 1.964
10 C, 5286, , , , , 10 C, 94, 13, 11016, , 168, , , 10 C, 18501, 2.171
28 A, 3960, , 15400, , , 28 A, 206, 17, 13102, , 229, , , 28 A, 15400, 1.996
28 B, 3080, , 16280, , , 28 B, 231, 26, 14568, , 501, , , 28 B, 16280, 1.954
28 C, 3080, , 12320, , , 28 C, 346, 24, 20508, , 1652, , , 28 C, 12320, 1.979
17 A, 4405, , , , , 17 A, 40, 5, 228, , 46, , , 17 A, 11453, 3.586
17 B, 2643, , , , , 17 B, 43, 10, 899, , 17, , , 17 B, 9691, 3.138
17 C, 5286, , , , , 17 C, 60, 8, 1120, , 102, , , 17 C, 12334, 3.013
