EXMO,  FID < 5 (batches),  FID < 2 (batches),  Acc. 50-85%,  Acc. 60-75%,  Avg. Acc. 50-85%,  Avg. Acc. 60-75%
01, 0.177, 0.329, 0.331, 0.134, 0.500, 0.191
02, 0.188, 0.240, 0.331, 0.038, 0.331, 0.191
03, 0.411, 0.098, 0.412, 0.500, 0.331, 0.500
04, 0.411, 0.321, 0.095, 0.500, 0.500, 0.095
05, 0.240, 0.098, 0.500, 0.253, 0.500, 0.191
06, 0.327, 0.253, 0.191, 0.500, 0.331, 0.500
07, 0.398, 0.098, 0.331, 0.500, 0.331, 0.331
08, 0.411, 0.500, 0.500, 0.321, 0.500, 0.331
09, 0.411, 0.321, 0.331, 0.082, 0.331, 0.500
10, 0.411, 0.411, 0.095, 0.184, 0.331, 0.500
11, 0.038, 0.040, 0.095, 0.095, 0.331, 0.331
12, 0.412, 0.040, 0.095, 0.040, 0.331, 0.331
13, 0.407, 0.040, 0.191, 0.040, 0.331, 0.040
14, 0.134, 0.098, 0.095, 0.331, 0.331, 0.331
15, 0.250, 0.500, 0.095, 0.038, 0.331, 0.331
16, 0.038, 0.098, 0.092, 0.038, 0.331, 0.500
17, 0.410, 0.098, 0.040, 0.331, 0.500, 0.191
18, 0.058, 0.098, 0.191, 0.500, 0.331, 0.095
19, 0.040, 0.038, 0.040, 0.134, 0.331, 0.500
20, 0.184, 0.040, 0.040, 0.040, 0.331, 0.040
21, 0.188, 0.061, 0.040, 0.040, 0.331, 0.191
22, 0.040, 0.098, 0.500, 0.038, 0.331, 0.500
23, 0.098, 0.329, 0.040, 0.040, 0.331, 0.191
24, 0.040, 0.098, 0.038, 0.329, 0.500, 0.188
25, 0.411, 0.098, 0.040, 0.331, 0.500, 0.331
26, 0.058, 0.098, 0.331, 0.134, 0.331, 0.095
27, 0.321, 0.098, 0.040, 0.331, 0.331, 0.331
28, 0.329, 0.331, 0.095, 0.061, 0.500, 0.191
